厂商,车型,年款,配置名称,官方指导价(万),特色功能,功能内容
上汽奥迪,Sportback,2026款,先锋型,23.59,奢享座舱升级包,前排座椅按摩，后排座椅加热，外后视镜自动防眩目，后风窗与后三角窗多层静音玻璃，后排侧窗与后风窗隐私玻璃，Bose 悦动音响 （16+2扬声器），负离子发生器，ETC ○选配15000元
上汽奥迪,Sportback,2026款,先锋Plus型,26.99,奢享座舱升级包,前排座椅按摩，后排座椅加热，外后视镜自动防眩目，后风窗与后三角窗多层静音玻璃，后排侧窗与后风窗隐私玻璃，Bose 悦动音响 （16+2扬声器），负离子发生器，ETC ○选配15000元
上汽奥迪,Sportback,2026款,先锋quattro型,26.99,奢享座舱升级包,前排座椅按摩，后排座椅加热，外后视镜自动防眩目，后风窗与后三角窗多层静音玻璃，后排侧窗与后风窗隐私玻璃，Bose 悦动音响 （16+2扬声器），负离子发生器，ETC ○选配15000元
上汽奥迪,Sportback,2026款,先锋型,23.59,奢享座舱升级包,前排座椅按摩，后排座椅加热，外后视镜自动防眩目，后风窗与后三角窗多层静音玻璃，后排侧窗与后风窗隐私玻璃，Bose 悦动音响 （16+2扬声器），负离子发生器，ETC ○选配15000元
上汽奥迪,Sportback,2026款,先锋Plus型,26.99,奢享座舱升级包,前排座椅按摩，后排座椅加热，外后视镜自动防眩目，后风窗与后三角窗多层静音玻璃，后排侧窗与后风窗隐私玻璃，Bose 悦动音响 （16+2扬声器），负离子发生器，ETC ○选配15000元
上汽奥迪,Sportback,2026款,先锋quattro型,26.99,奢享座舱升级包,前排座椅按摩，后排座椅加热，外后视镜自动防眩目，后风窗与后三角窗多层静音玻璃，后排侧窗与后风窗隐私玻璃，Bose 悦动音响 （16+2扬声器），负离子发生器，ETC ○选配15000元
上汽奥迪,Sportback,2026款,先锋型,23.59,奢享座舱升级包,前排座椅按摩，后排座椅加热，外后视镜自动防眩目，后风窗与后三角窗多层静音玻璃，后排侧窗与后风窗隐私玻璃，Bose 悦动音响 （16+2扬声器），负离子发生器，ETC ○选配15000元
上汽奥迪,Sportback,2026款,先锋Plus型,26.99,奢享座舱升级包,前排座椅按摩，后排座椅加热，外后视镜自动防眩目，后风窗与后三角窗多层静音玻璃，后排侧窗与后风窗隐私玻璃，Bose 悦动音响 （16+2扬声器），负离子发生器，ETC ○选配15000元
上汽奥迪,Sportback,2026款,先锋quattro型,26.99,奢享座舱升级包,前排座椅按摩，后排座椅加热，外后视镜自动防眩目，后风窗与后三角窗多层静音玻璃，后排侧窗与后风窗隐私玻璃，Bose 悦动音响 （16+2扬声器），负离子发生器，ETC ○选配15000元
上汽奥迪,Sportback,2026款,钦定性能quattro型,27.99,奢享座舱升级包,
上汽奥迪,Sportback,2026款,旗舰quattro型,31.99,奢享座舱升级包,
北京奔驰,奔驰EQB,2025款,EQB 260,35.2,智乐套装1,行车记录仪、MBUX 智能人机交互系统实景穿越导航 ●标配
北京奔驰,奔驰EQB,2025款,EQB 350 4MATIC,42.8,智乐套装1,行车记录仪、MBUX 智能人机交互系统实景穿越导航 ●标配
北京奔驰,奔驰GLC,2026款,GLC 260 L 4MATIC 经典版 5座,39.98,智乐套装1,Burmester®环绕立体声音响系统、个性化音效设置 ○选配8300元
北京奔驰,奔驰GLC,2026款,GLC 260 L 4MATIC 动感型 5座,42.78,智乐套装1,Burmester®环绕立体声音响系统、个性化音效设置 ○选配8300元
北京奔驰,奔驰GLC,2026款,GLC 260 L 4MATIC 豪华型 5座,45.53,智乐套装1,Burmester®环绕立体声音响系统、个性化音效设置 ○选配8300元
北京奔驰,奔驰GLC,2026款,GLC 300 L 4MATIC 动感型 5座,47.93,智乐套装1,Burmester®环绕立体声音响系统、个性化音效设置 ●标配
北京奔驰,奔驰GLC,2026款,GLC 300 L 4MATIC 动感型 7座,48.53,智乐套装1,Burmester®环绕立体声音响系统、个性化音效设置 ●标配
北京奔驰,奔驰GLC,2025款,改款 GLC 260 L 4MATIC 动感型 5座,42.78,智乐套装1,Burmester®环绕立体声音响系统、个性化音效设置 ○选配8300元
北京奔驰,奔驰GLC,2025款,改款 GLC 260 L 4MATIC 豪华型 5座,45.53,智乐套装1,Burmester®环绕立体声音响系统、个性化音效设置 ○选配8300元
北京奔驰,奔驰GLC,2025款,改款 GLC 300 L 4MATIC 动感型 5座,47.93,智乐套装1,Burmester®环绕立体声音响系统、个性化音效设置 ○选配8300元
北京奔驰,奔驰GLC,2025款,改款 GLC 300 L 4MATIC 动感型 7座,48.53,智乐套装1,Burmester®环绕立体声音响系统、个性化音效设置 ○选配8300元
奇瑞汽车,智界S7,2024款,Max RS四驱性能版,32.98,运动套件,前扰流板、碳纤维尾翼、侧裙扰流板、尾部扩散器、黑化后视镜、黑化翼子板饰件 ○选配暂无价格
奇瑞汽车,智界S7,2024款,Ultra四驱旗舰版,34.98,运动套件,前扰流板、碳纤维尾翼、侧裙扰流板、尾部扩散器、黑化后视镜、黑化翼子板饰件 ○选配暂无价格
奇瑞汽车,智界S7,2026款,Max 三元锂,22.98,运动套件,
奇瑞汽车,智界S7,2026款,Max 三元锂+磷酸铁锂,22.98,运动套件,
奇瑞汽车,智界S7,2026款,Max+,24.98,运动套件,
奇瑞汽车,智界S7,2026款,Ultra,28.98,运动套件,
奇瑞汽车,智界S7,2025款,Pro后驱长续航版,22.98,运动套件,
奇瑞汽车,智界S7,2025款,Max后驱长续航版,26.98,运动套件,
奇瑞汽车,智界S7,2025款,Max后驱超长续航版,28.98,运动套件,
奇瑞汽车,智界S7,2025款,Ultra四驱长续航版,31.98,运动套件,前扰流板、碳纤维尾翼、侧裙扰流板、尾部扩散器、黑化后视镜、黑化翼子板饰件 ○选配10000元
奇瑞汽车,智界S7,2025款,Ultra四驱运动版,32.98,运动套件,前扰流板、碳纤维尾翼、侧裙扰流板、尾部扩散器、黑化后视镜、黑化翼子板饰件 ●标配
领克,领克07 EM-P,2024款,126长续航 Halo,17.98,高阶智驾辅助包,NOA高阶智驾领航辅助系统、TLA交通信号灯提醒系统、DMS驾驶员状态监控系统、FCTA前方交叉路口预警系统、EMA紧急转向避让辅助系统、ALCA打灯变道辅助系统、匝道自动驶出（入）、自动泊车入位、RPA一键遥控泊车系统 ○选配12000元
领克,领克07 EM-P,2024款,126长续航 Ultra,18.98,高阶智驾辅助包,NOA高阶智驾领航辅助系统、TLA交通信号灯提醒系统、DMS驾驶员状态监控系统、FCTA前方交叉路口预警系统、EMA紧急转向避让辅助系统、ALCA打灯变道辅助系统、匝道自动驶出（入）、自动泊车入位、RPA一键遥控泊车系统 ○选配12000元
领克,EM-P,2024款,126长续航 Pro,15.98,高阶智驾辅助包,NOA高阶智驾领航辅助系统、TLA交通信号灯提醒系统、DMS驾驶员状态监控系统、FCTA前方交叉路口预警系统、EMA紧急转向避让辅助系统、ALCA打灯变道辅助系统、匝道自动驶出（入）、自动泊车入位、RPA一键遥控泊车系统 ○选配12000元
领克,EM-P,2024款,126长续航 Halo,16.98,高阶智驾辅助包,NOA高阶智驾领航辅助系统、TLA交通信号灯提醒系统、DMS驾驶员状态监控系统、FCTA前方交叉路口预警系统、EMA紧急转向避让辅助系统、ALCA打灯变道辅助系统、匝道自动驶出（入）、自动泊车入位、RPA一键遥控泊车系统 ○选配12000元
领克,EM-P,2024款,126长续航 Ultra,17.98,高阶智驾辅助包,NOA高阶智驾领航辅助系统、TLA交通信号灯提醒系统、DMS驾驶员状态监控系统、FCTA前方交叉路口预警系统、EMA紧急转向避让辅助系统、ALCA打灯变道辅助系统、匝道自动驶出（入）、自动泊车入位、RPA一键遥控泊车系统 ○选配12000元
领克,EM-P,2026款,126长续航Max,15.58,高阶智驾辅助包,
领克,EM-P,2026款,126长续航Ultra,16.58,高阶智驾辅助包,
领克,EM-P,2026款,126长续航Ultra H7,17.58,高阶智驾辅助包,
领克,EM-P,2024款,126长续航 Pro,15.98,高阶智驾辅助包,NOA高阶智驾领航辅助系统、TLA交通信号灯提醒系统、DMS驾驶员状态监控系统、FCTA前方交叉路口预警系统、EMA紧急转向避让辅助系统、ALCA打灯变道辅助系统、匝道自动驶出（入）、自动泊车入位、RPA一键遥控泊车系统 ○选配12000元
领克,EM-P,2024款,126长续航 Halo,16.98,高阶智驾辅助包,NOA高阶智驾领航辅助系统、TLA交通信号灯提醒系统、DMS驾驶员状态监控系统、FCTA前方交叉路口预警系统、EMA紧急转向避让辅助系统、ALCA打灯变道辅助系统、匝道自动驶出（入）、自动泊车入位、RPA一键遥控泊车系统 ○选配12000元
领克,EM-P,2024款,126长续航 Ultra,17.98,高阶智驾辅助包,NOA高阶智驾领航辅助系统、TLA交通信号灯提醒系统、DMS驾驶员状态监控系统、FCTA前方交叉路口预警系统、EMA紧急转向避让辅助系统、ALCA打灯变道辅助系统、匝道自动驶出（入）、自动泊车入位、RPA一键遥控泊车系统 ○选配12000元
比亚迪,DM,2026款,DM-i 210KM云辇型,12.68,TBC高速爆胎稳行系统,TBC高速爆胎稳行系统 ○选配3000元
比亚迪,DM,2026款,DM-i 128KM进取型,9.68,TBC高速爆胎稳行系统,
比亚迪,DM,2026款,DM-i 128KM领先型,10.68,TBC高速爆胎稳行系统,
比亚迪,DM,2026款,DM-i 210KM超越型,11.68,TBC高速爆胎稳行系统,
比亚迪,DM,2026款,DM-i 210KM云辇型,12.68,TBC高速爆胎稳行系统,TBC高速爆胎稳行系统 ○选配3000元
比亚迪,DM,2025款,智驾版 DM-i 80KM领先型,9.98,TBC高速爆胎稳行系统,
比亚迪,DM,2025款,智驾版 DM-i 80KM超越型,10.98,TBC高速爆胎稳行系统,
比亚迪,DM,2025款,智驾版 DM-i 120KM领先型,11.98,TBC高速爆胎稳行系统,
比亚迪,DM,2025款,智驾版 DM-i 120KM领航版,15.38,TBC高速爆胎稳行系统,
比亚迪,DM,2025款,智驾版 DM-i 120KM超越型,12.98,TBC高速爆胎稳行系统,
比亚迪,DM,2025款,智驾版 DM-i 120KM卓越型,13.98,TBC高速爆胎稳行系统,
比亚迪,秦PLUS EV,2024款,荣耀版 420KM 领先型,10.98,系统综合工况效率(%),89.0
比亚迪,秦PLUS EV,2024款,荣耀版 420KM 超越型,11.68,系统综合工况效率(%),89.0
比亚迪,秦PLUS EV,2024款,荣耀版 510KM 领先型,11.98,系统综合工况效率(%),89.0
比亚迪,秦PLUS EV,2024款,荣耀版 510KM 超越型,12.98,系统综合工况效率(%),89.0
比亚迪,秦PLUS EV,2024款,荣耀版 510KM 卓越型,13.98,系统综合工况效率(%),89.0
比亚迪,秦PLUS EV,2023款,冠军版 420KM 领先型,12.98,系统综合工况效率(%),89.0
比亚迪,秦PLUS EV,2023款,冠军版 420KM 超越型,13.68,系统综合工况效率(%),89.0
比亚迪,秦PLUS EV,2023款,冠军版 510KM 领先型,13.98,系统综合工况效率(%),89.0
比亚迪,秦PLUS EV,2023款,冠军版 510KM 超越型,14.98,系统综合工况效率(%),89.0
比亚迪,秦PLUS EV,2023款,冠军版 510KM 卓越型,15.98,系统综合工况效率(%),89.0
比亚迪,秦PLUS EV,2023款,冠军版 610KM 卓越型,17.68,系统综合工况效率(%),89.0
吉利银河,EM-i,2025款,55KM 探索版,10.78,L2级智能驾驶辅助系统,L2级智能驾驶辅助系统（限时赠送） ○选配2500元
吉利银河,EM-i,2025款,55KM 探索版,10.78,L2级智能驾驶辅助系统,L2级智能驾驶辅助系统（限时赠送） ○选配2500元
吉利银河,EM-i,2026款,130KM 启航版,10.18,L2级智能驾驶辅助系统,
吉利银河,EM-i,2026款,135KM 智航版,11.28,L2级智能驾驶辅助系统,
吉利银河,EM-i,2026款,135KM 领航版,12.18,L2级智能驾驶辅助系统,
吉利银河,EM-i,2026款,135KM 星舰版,12.98,L2级智能驾驶辅助系统,
吉利银河,EM-i,2025款,55KM 启航版,9.78,L2级智能驾驶辅助系统,
吉利银河,EM-i,2025款,55KM 探索版,10.78,L2级智能驾驶辅助系统,L2级智能驾驶辅助系统（限时赠送） ○选配2500元
吉利银河,EM-i,2025款,120KM 启航+版,11.08,L2级智能驾驶辅助系统,
吉利银河,EM-i,2025款,120KM 探索+版,12.08,L2级智能驾驶辅助系统,
吉利银河,EM-i,2025款,120KM 领航版,13.08,L2级智能驾驶辅助系统,
比亚迪,海豹,2025款,650长续航版,18.98,镀银EC智能光感天幕,○选配6600元
比亚迪,海豹,2025款,650智驾版,21.68,镀银EC智能光感天幕,○选配6600元
比亚迪,海豹,2025款,600四驱智驾版,23.98,镀银EC智能光感天幕,○选配6600元
比亚迪,海豹,2025款,510智航版,17.58,镀银EC智能光感天幕,
比亚迪,海豹,2025款,650智航版,18.98,镀银EC智能光感天幕,○选配6600元
比亚迪,海豹,2025款,改款 650智驾版,21.68,镀银EC智能光感天幕,○选配6600元
比亚迪,海豹,2025款,改款 600四驱智驾版,23.98,镀银EC智能光感天幕,○选配6600元
比亚迪,海豹,2025款,510标准版,17.58,镀银EC智能光感天幕,
比亚迪,海豹,2025款,650长续航版,18.98,镀银EC智能光感天幕,○选配6600元
比亚迪,海豹,2025款,650智驾版,21.68,镀银EC智能光感天幕,○选配6600元
比亚迪,海豹,2025款,600四驱智驾版,23.98,镀银EC智能光感天幕,○选配6600元
华晨宝马,宝马X1,2025款,sDrive25Li X设计套装,25.8,智能驾驶辅助Pro套装,智能驾驶辅助系统Pro、具自动防眩目功能的内部后视镜和驾驶员侧外部后视镜、全彩平视显示系统 ○选配27500元
华晨宝马,宝马X1,2025款,sDrive25Li M运动套装,25.8,智能驾驶辅助Pro套装,智能驾驶辅助系统Pro、具自动防眩目功能的内部后视镜和驾驶员侧外部后视镜、全彩平视显示系统、智能互联驾驶座舱（带全彩平视显示系统） ○选配27500元
华晨宝马,宝马X1,2025款,xDrive25Li X设计套装,28.8,智能驾驶辅助Pro套装,智能驾驶辅助系统Pro、具自动防眩目功能的内部后视镜和驾驶员侧外部后视镜、全彩平视显示系统 ○选配18800元
华晨宝马,宝马X1,2025款,xDrive25Li M运动曜夜套装,28.8,智能驾驶辅助Pro套装,智能驾驶辅助系统Pro、具自动防眩目功能的内部后视镜和驾驶员侧外部后视镜、全彩平视显示系统 ○选配18800元
华晨宝马,宝马X1,2025款,M35Li,33.8,智能驾驶辅助Pro套装,智能泊车辅助系统Plus、具自动防眩目功能的内部后视镜和驾驶员侧外部后视镜、全彩平视显示系统 ○选配18800元
华晨宝马,宝马X1,2024款,M35Li,40.99,智能驾驶辅助Pro套装,智能泊车辅助系统Plus、具自动防眩目功能的内部后视镜和驾驶员侧外部后视镜、全彩平视显示系统 ○选配18800元
华晨宝马,宝马X1,2023款,sDrive20Li X设计套装,28.89,智能驾驶辅助Pro套装,智能驾驶辅助系统Pro、具自动防眩目功能的内部后视镜和驾驶员侧外部后视镜、全彩平视显示系统 ○选配27500元
华晨宝马,宝马X1,2023款,sDrive25Li X设计套装,31.69,智能驾驶辅助Pro套装,智能驾驶辅助系统Pro、具自动防眩目功能的内部后视镜和驾驶员侧外部后视镜、全彩平视显示系统 ○选配27500元
华晨宝马,宝马X1,2023款,sDrive25Li M运动套装,31.69,智能驾驶辅助Pro套装,智能驾驶辅助系统Pro、具自动防眩目功能的内部后视镜和驾驶员侧外部后视镜、全彩平视显示系统 ○选配27500元
华晨宝马,宝马X1,2023款,xDrive25Li X设计套装,34.99,智能驾驶辅助Pro套装,智能驾驶辅助系统Pro、具自动防眩目功能的内部后视镜和驾驶员侧外部后视镜、全彩平视显示系统、智能互联驾驶座舱（带全彩平视显示系统） ○选配18800元
华晨宝马,宝马X1,2023款,xDrive25Li M运动套装,34.99,智能驾驶辅助Pro套装,智能驾驶辅助系统Pro、具自动防眩目功能的内部后视镜和驾驶员侧外部后视镜、全彩平视显示系统 ○选配18800元
华晨宝马,宝马X1,2025款,sDrive25Li X设计套装,25.8,智能泊车辅助Plus套装,智能泊车辅助系统Plus、具自动防眩目功能的内部后视镜和驾驶员侧外部后视镜 ○选配6000元
华晨宝马,宝马X1,2025款,sDrive25Li M运动套装,25.8,智能泊车辅助Plus套装,智能泊车辅助系统Plus、具自动防眩目功能的内部后视镜和驾驶员侧外部后视镜 ○选配6000元
华晨宝马,宝马X1,2025款,xDrive25Li X设计套装,28.8,智能泊车辅助Plus套装,智能泊车辅助系统Plus、具自动防眩目功能的内部后视镜和驾驶员侧外部后视镜 ○选配6000元
华晨宝马,宝马X1,2025款,xDrive25Li M运动曜夜套装,28.8,智能泊车辅助Plus套装,智能泊车辅助系统Plus、具自动防眩目功能的内部后视镜和驾驶员侧外部后视镜 ○选配6000元
华晨宝马,宝马X1,2025款,M35Li,33.8,智能泊车辅助Plus套装,智能泊车辅助系统Plus、具自动防眩目功能的内部后视镜和驾驶员侧外部后视镜 ○选配6000元
华晨宝马,宝马X1,2024款,M35Li,40.99,智能泊车辅助Plus套装,智能泊车辅助系统Plus、具自动防眩目功能的内部后视镜和驾驶员侧外部后视镜 ○选配6000元
华晨宝马,宝马X1,2023款,sDrive20Li X设计套装,28.89,智能泊车辅助Plus套装,智能泊车辅助系统Plus、具自动防眩目功能的内部后视镜和驾驶员侧外部后视镜 ○选配6000元
华晨宝马,宝马X1,2023款,sDrive25Li X设计套装,31.69,智能泊车辅助Plus套装,智能泊车辅助系统Plus、具自动防眩目功能的内部后视镜和驾驶员侧外部后视镜 ○选配6000元
